date,total_pnl,avg_pnl,trade_count,total_volume,avg_trade_size,profitable_trades,buy_count,sell_count,sentiment_value,win_rate,buy_sell_ratio
2024-07-17,1859.269477,5.297064037037037,351,626005.53,1783.4915384615385,145,155,196,69.0,0.4131054131054131,0.7868020304568528
2024-07-18,3803.884311,63.398071849999994,60,649704.85,10828.414166666666,48,60,0,61.0,0.8,60.0
2024-07-19,2155.891114,93.73439626086956,23,150269.42,6533.453043478262,12,1,22,60.0,0.5217391304347826,0.043478260869565216
2024-07-20,2299.169566,8.643494609022557,266,244362.21,918.65492481203,33,41,225,74.0,0.12406015037593984,0.18141592920353983
2024-07-21,-2960.716887,-6.608743051339286,448,234307.46,523.0077232142856,21,239,209,74.0,0.046875,1.138095238095238
2024-07-22,1517.119876,9.851427766233765,154,304213.8,1975.4142857142856,22,103,51,70.0,0.14285714285714285,1.9807692307692308
2024-07-23,89890.302206,242.9467627189189,370,358526.54,968.9906486486486,329,137,233,71.0,0.8891891891891892,0.5854700854700855
2024-07-24,625.561479,6.9506831,90,69207.93,768.977,18,54,36,69.0,0.2,1.4594594594594594
2024-07-25,916.7382600000001,11.753054615384617,78,528555.31,6776.350128205129,10,77,1,68.0,0.1282051282051282,38.5
2024-07-26,2766.513113,18.200744164473683,152,548587.65,3609.1292763157894,61,43,109,68.0,0.40131578947368424,0.39090909090909093
2024-07-27,6400.623656,112.2916430877193,57,905199.75,15880.697368421053,42,9,48,72.0,0.7368421052631579,0.1836734693877551
2024-07-28,587.29903,36.706189375,16,43254.68,2703.4175,12,15,1,71.0,0.75,7.5
2024-07-29,330.80445399999996,8.482165487179486,39,327199.14,8389.72153846154,16,18,21,74.0,0.41025641025641024,0.8181818181818182
2024-07-30,0.0,0.0,6,36006.47,6001.078333333334,0,6,0,67.0,0.0,6.0
2024-07-31,765.690884,17.806764744186047,43,84506.54,1965.2683720930231,14,17,26,61.0,0.32558139534883723,0.6296296296296297
2024-08-01,167.080017,2.9312283684210527,57,227774.53,3996.044385964912,4,47,10,52.0,0.07017543859649122,4.2727272727272725
2024-08-02,782.3681909999999,12.418542714285714,63,396320.37,6290.799523809524,17,42,21,57.0,0.2698412698412698,1.9090909090909092
2024-08-03,464.1897,12.545667567567568,37,290532.86,7852.239459459459,1,36,1,37.0,0.02702702702702703,18.0
2024-08-04,-122672.000883,-965.9212667952756,127,1207744.07,9509.795826771655,3,60,67,34.0,0.023622047244094488,0.8823529411764706
2024-08-05,-13013.665169,-162.6708146125,80,420495.4,5256.1925,33,41,39,26.0,0.4125,1.025
2024-08-06,267.318048,2.4982995140186914,107,61478.38,574.5642990654205,13,76,31,17.0,0.12149532710280374,2.375
2024-08-07,188.789255,5.720886515151515,33,2492.77,75.53848484848484,10,12,21,29.0,0.30303030303030304,0.5454545454545454
2024-08-08,-40.712216999999995,-4.5235796666666666,9,16299.35,1811.038888888889,0,5,4,20.0,0.0,1.0
2024-08-09,18082.071276,125.56993941666666,144,503204.86,3494.4781944444444,43,54,90,48.0,0.2986111111111111,0.5934065934065934
2024-08-10,0.0,0.0,88,11339.29,128.8555681818182,0,87,1,40.0,0.0,43.5
2024-08-11,847.7766200000001,35.32402583333334,24,44230.21,1842.9254166666667,4,16,8,39.0,0.16666666666666666,1.7777777777777777
2024-08-12,858.6705000000001,17.88896875,48,54167.32,1128.4858333333334,6,39,9,25.0,0.125,3.9
2024-08-13,212.08102,9.220913913043479,23,20797.87,904.2552173913043,8,20,3,31.0,0.34782608695652173,5.0
2024-08-14,2168.9015130000003,86.75606052,25,66710.03,2668.4012,5,19,6,30.0,0.2,2.7142857142857144
2024-08-15,0.0,0.0,12,1522.3700000000001,126.86416666666668,0,12,0,29.0,0.0,12.0
