date,total_pnl,avg_pnl,trade_count,total_volume,avg_trade_size,profitable_trades,buy_count,sell_count,sentiment_value,win_rate,buy_sell_ratio,sentiment_lag_1,sentiment_lag_3,sentiment_lag_7,sentiment_ma_7,sentiment_ma_14,sentiment_std_7,sentiment_change_1d,sentiment_change_7d,sentiment_momentum,sentiment_zone,zone_change,pnl_lag_1,pnl_ma_7,cumulative_pnl,next_day_pnl
2025-02-06,33803.799733,19.84955944392249,1703,2818508.87,1655.0257604227834,785,1163,540,49.0,0.46095126247798,2.1497227356746764,54.0,44.0,70.0,60.42857142857143,66.5,12.081075322684573,-5.0,-21.0,-11.42857142857143,Neutral,0,56706.235562,155325.93015671428,5385562.162224001,22450.002091
2025-02-07,22450.002091,14.730972500656167,1524,3460263.54,2270.5141338582675,430,957,567,44.0,0.2821522309711286,1.6848591549295775,49.0,72.0,76.0,55.857142857142854,64.28571428571429,11.231333720571847,-5.0,-32.0,-11.857142857142854,Fear,1,33803.799733,153409.0309164286,5408012.164315001,586.703253
2025-02-08,586.703253,1.0203534834782608,575,839734.97,1460.4086434782607,110,451,124,44.0,0.19130434782608696,3.608,44.0,54.0,68.0,52.42857142857143,62.07142857142857,10.549204438521006,0.0,-24.0,-8.42857142857143,Fear,0,22450.002091,148878.5306644286,5408598.867568001,150551.829492
2025-02-09,150551.829492,197.05736844502616,764,2920919.7,3823.19332460733,329,428,336,46.0,0.4306282722513089,1.2700296735905046,44.0,49.0,60.0,50.42857142857143,60.142857142857146,10.195704043977438,2.0,-14.0,-4.428571428571431,Neutral,1,586.703253,147120.96921714288,5559150.697060001,63908.49465
2025-02-10,63908.49465,71.88807047244094,889,3624958.44,4077.5685489313837,425,360,529,43.0,0.4780652418447694,0.6792452830188679,46.0,44.0,44.0,50.285714285714285,58.142857142857146,10.307186582093689,-3.0,-1.0,-7.285714285714285,Fear,1,150551.829492,106411.99327157145,5623059.191710001,-6093.784817
2025-02-11,-6093.784817,-7.186067001179245,848,2797544.17,3298.990766509434,185,362,486,47.0,0.21816037735849056,0.7433264887063655,43.0,44.0,72.0,46.714285714285715,56.357142857142854,3.8172540616816923,4.0,-25.0,0.2857142857142847,Neutral,1,63908.49465,45987.611423428585,5616965.406893001,19848.635032
2025-02-12,19848.635032,19.251828353055284,1031,4143974.54,4019.3739476236665,477,406,625,46.0,0.4626576139670223,0.6485623003194888,47.0,46.0,54.0,45.57142857142857,54.5,2.070196678026283,-1.0,-8.0,0.4285714285714306,Neutral,0,-6093.784817,40722.23991914287,5636814.041925001,27829.534238
2025-02-13,27829.534238,20.313528640875912,1370,3199852.21,2335.6585474452554,641,593,777,50.0,0.4678832116788321,0.7622107969151671,46.0,43.0,49.0,45.714285714285715,53.07142857142857,2.360387377407647,4.0,1.0,4.285714285714285,Neutral,0,19848.635032,39868.773419857156,5664643.576163001,213860.675308
2025-02-14,213860.675308,129.22095184773414,1655,4007103.42,2421.210525679758,710,532,1123,48.0,0.42900302114803623,0.47330960854092524,50.0,47.0,44.0,46.285714285714285,51.07142857142857,2.3603873774076507,-2.0,4.0,1.7142857142857153,Neutral,0,27829.534238,67213.15530800002,5878504.251471002,45042.92701
2025-02-15,45042.92701,48.32932082618026,932,1712852.95,1837.8250536480687,401,573,359,50.0,0.4302575107296137,1.5916666666666666,48.0,46.0,44.0,47.142857142857146,49.785714285714285,2.4784787961275696,2.0,6.0,2.857142857142854,Neutral,0,213860.675308,73564.04441614287,5923547.178481001,2369.478425
2025-02-16,2369.478425,3.4794103157121876,681,806177.64,1183.8144493392072,300,345,336,54.0,0.44052863436123346,1.0237388724035608,50.0,50.0,46.0,48.285714285714285,49.357142857142854,3.4982989063389205,4.0,8.0,5.714285714285715,Neutral,0,45042.92701,52395.13712085716,5925916.656906001,1818.573295
2025-02-17,1818.573295,1.9325964877789585,941,2031044.64,2158.3896280552603,211,623,318,51.0,0.22422954303931988,1.9529780564263324,54.0,48.0,43.0,49.42857142857143,49.857142857142854,2.699206232526732,-3.0,8.0,1.5714285714285694,Neutral,0,2369.478425,43525.14835585716,5927735.230201001,91204.672403
2025-02-18,91204.672403,54.418062292959426,1676,3371128.68,2011.413293556086,858,1051,625,47.0,0.5119331742243437,1.6789137380191694,51.0,50.0,47.0,49.42857142857143,48.07142857142857,2.699206232526732,-4.0,0.0,-2.4285714285714306,Neutral,0,1818.573295,57424.9279587143,6018939.902604002,14985.794701
2025-02-19,14985.794701,11.010870463629685,1361,3263930.24,2398.185334313005,582,864,497,44.0,0.4276267450404115,1.7349397590361446,47.0,54.0,46.0,49.142857142857146,47.357142857142854,3.1847852585149297,-3.0,-2.0,-5.142857142857146,Fear,1,91204.672403,56730.23648285716,6033925.697305001,46008.794102
2025-02-20,46008.794102,22.867193887673956,2012,4628609.29,2300.5016351888667,964,788,1224,49.0,0.47912524850894633,0.643265306122449,44.0,51.0,50.0,49.0,47.357142857142854,3.1622776601678835,5.0,-1.0,0.0,Neutral,1,14985.794701,59327.27360628574,6079934.491407001,119693.49395
2025-02-21,119693.49395,63.904695114789114,1873,3972159.88,2120.747399893219,978,744,1129,55.0,0.5221569674319274,0.6584070796460177,49.0,47.0,48.0,50.0,48.142857142857146,3.829708431024945,6.0,7.0,5.0,Greed,1,46008.794102,45874.81912657145,6199627.985357001,25278.704178
2025-02-22,25278.704178,36.849423,686,3175570.2,4629.111078717201,341,360,326,49.0,0.4970845481049563,1.1009174311926606,55.0,44.0,50.0,49.857142857142854,48.5,3.84831441146909,-6.0,-1.0,-0.8571428571428541,Neutral,1,119693.49395,43051.358722000026,6224906.689535001,10656.934251
2025-02-23,10656.934251,20.494104328846156,520,1141310.74,2194.8283461538463,234,283,237,50.0,0.45,1.1890756302521008,49.0,49.0,54.0,49.285714285714285,48.785714285714285,3.401680257082586,1.0,-4.0,0.7142857142857153,Neutral,0,25278.704178,44235.28098285716,6235563.6237860015,38470.176242
2025-02-24,38470.176242,6.850102607193732,5616,11223619.59,1998.5077617521367,2228,3255,2361,49.0,0.39672364672364674,1.378069432684166,50.0,55.0,51.0,49.0,49.214285714285715,3.3166247903549286,-1.0,-2.0,0.0,Neutral,0,10656.934251,49471.22426100002,6274033.800028002,204762.177034
2025-02-25,204762.177034,32.782929400256165,6246,19414984.36,3108.3868651937237,1628,4236,2010,25.0,0.260646813960935,2.106414719045251,49.0,49.0,47.0,45.857142857142854,47.642857142857146,9.73701821963586,-24.0,-22.0,-20.857142857142854,Fear,1,38470.176242,65693.72492257145,6478795.977062002,63229.063129
2025-02-26,63229.063129,53.76621014370748,1176,4946958.13,4206.597049319727,789,387,789,21.0,0.6709183673469388,0.489873417721519,25.0,50.0,44.0,42.57142857142857,45.857142857142854,13.587459203951434,-4.0,-23.0,-21.57142857142857,Extreme Fear,1,204762.177034,72585.62041228575,6542025.040191002,-36525.167517
